Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
499,0.306,0.202,0.290434,0.929,0.544,0.84,3,499,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.929341763,0.543768546,0.840024299,1
509,0.204,0.229,0.2395646,0.55,0.644,0.658,4,509,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.550018594,0.643916914,0.658244808,1
511,0.293,0.242,0.2888909,0.881,0.692,0.835,0,511,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.880996653,0.692136499,0.834510102,1
513,0.058,0.167,0.284077,0.00707,0.414,0.817,4,513,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.007065824,0.413946588,0.817307849,1
515,0.181,0.2,0.2987962,0.464,0.536,0.87,0,515,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.464484939,0.536350148,0.869906241,1
523,0.0771,0.0559,0.2425983,0.0781,0.00185,0.669,4,523,Not eroded,0,1,1,1,1,0,0,0,0,1,1,0.078095946,0.001854599,0.669085598,1
524,0.0761,0.276,0.2878653,0.0744,0.818,0.831,0,524,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.074377092,0.818249258,0.830845167,1
528,0.299,0.318,0.2727158,0.903,0.974,0.777,0,528,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.903309781,0.974035608,0.776709116,1
531,0.302,0.221,0.2326777,0.914,0.614,0.634,5,531,Not eroded,0,1,1,1,0,0,0,0,0,0,1,0.914466344,0.614243323,0.633634784,1
533,0.0853,0.227,0.2949918,0.109,0.636,0.856,0,533,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.108590554,0.636498516,0.856311391,1
535,0.087,0.17,0.3216912,0.115,0.425,0.952,0,535,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.114912607,0.425074184,0.951720484,1
542,0.241,0.124,0.2708357,0.688,0.254,0.77,4,542,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.687616214,0.254451039,0.769990664,1
543,0.317,0.187,0.2293525,0.97,0.488,0.622,5,543,Not eroded,0,1,1,0,0,0,0,0,0,0,1,0.970249163,0.488130564,0.621752333,1
546,0.189,0.146,0.2941189,0.494,0.336,0.853,0,546,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.494235775,0.336053412,0.853192122,1
547,0.215,0.0965,0.2761988,0.591,0.152,0.789,0,547,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.590925995,0.152448071,0.789155459,1
